policy, run, G, SE(G)
none, 0, 0.2447722, 0.00882597
none, 1, 0.2401147, 0.00908416
none, 2, 0.2437673, 0.00907521
none, 3, 0.2430099, 0.00958792
none, 4, 0.2412051, 0.00898514
none, 5, 0.2485429, 0.0085112
none, 6, 0.2275823, 0.00877533
none, 7, 0.2383219, 0.00917504
none, 8, 0.2337876, 0.00894783
none, 9, 0.2331541, 0.00914883
none, 10, 0.2400061, 0.00927713
none, 11, 0.2347047, 0.01051929
none, 12, 0.2341475, 0.00972037
none, 13, 0.2400280, 0.00932619
none, 14, 0.2445541, 0.0101937
none, 15, 0.2335395, 0.0099998
none, 16, 0.2367705, 0.00889188
none, 17, 0.2386126, 0.00953741
none, 18, 0.2449384, 0.00927234
none, 19, 0.2456140, 0.00940583
onboard, 0, 0.2389531, 0.00825497
onboard, 1, 0.2273468, 0.00812127
onboard, 2, 0.2406422, 0.00856442
onboard, 3, 0.2295874, 0.00818434
onboard, 4, 0.2338332, 0.00808073
onboard, 5, 0.2319674, 0.00823236
onboard, 6, 0.2308653, 0.00834928
onboard, 7, 0.2314990, 0.00842791
onboard, 8, 0.2326828, 0.00811147
onboard, 9, 0.2401560, 0.00823084
onboard, 10, 0.2329029, 0.00835745
onboard, 11, 0.2319278, 0.00822916
onboard, 12, 0.2366649, 0.00821275
onboard, 13, 0.2325231, 0.00825715
onboard, 14, 0.2394722, 0.00819588
onboard, 15, 0.2381387, 0.00830806
onboard, 16, 0.2358894, 0.00850863
onboard, 17, 0.2321575, 0.00853526
onboard, 18, 0.2337176, 0.00840289
onboard, 19, 0.2257904, 0.008269
engage, 0, 0.2688760, 0.0624353
engage, 1, 0.2677627, 0.05690482
engage, 2, 0.2738696, 0.06141936
engage, 3, 0.2625000, 0.04919086
engage, 4, 0.2653496, 0.05967156
engage, 5, 0.2743781, 0.06323876
engage, 6, 0.2689053, 0.05784723
engage, 7, 0.2657763, 0.06023598
engage, 8, 0.2732006, 0.06453522
engage, 9, 0.2748829, 0.06728718
engage, 10, 0.2661736, 0.06652276
engage, 11, 0.2752717, 0.05726794
engage, 12, 0.2708049, 0.05848558
engage, 13, 0.2734688, 0.06345871
engage, 14, 0.2808278, 0.06213552
engage, 15, 0.2716341, 0.05872061
engage, 16, 0.2782214, 0.06820214
engage, 17, 0.2678669, 0.06201263
engage, 18, 0.2800908, 0.06709886
engage, 19, 0.2646676, 0.05488937
both, 0, 0.2715741, 0.06059042
both, 1, 0.2613479, .05461402
both, 2, 0.2666457, 0.05881307
both, 3, 0.2676419, 0.06081783
both, 4, 0.2771898, 0.06931807
both, 5, 0.2676648, 0.06411841
both, 6, 0.2700190, 0.06011773
both, 7, 0.2661584, 0.06078421
both, 8, 0.2754183, 0.07343668
both, 9, 0.2688105, 0.05030104
both, 10, 0.2715098, 0.06121521
both, 11, 0.2711258, 0.0517475
both, 12, 0.2643447, 0.06263887
both, 13, 0.2722701, 0.06601542
both, 14, 0.2743169, 0.05889941
both, 15, 0.2738584, 0.06047604
both, 16, 0.2700458, 0.05926773
both, 17, 0.2759461, 0.05667052
both, 18, 0.2631997, 0.05883416
both, 19, 0.2665481, 0.05745418